reviewText,label
"Nichole Nordeman has released an extra project that is a live, acoustic arrangement of some of her best songs.  The funny things is, while not changing a word or chord, they sound even more personal and honest with fewer instruments.
The song selection seems a little heavy on her latest release, with half the songs coming from it (""Holy,"" ""I Am,"" ""Legacy,"" and ""My Offering"").  I'm especially glad to have the version of ""Holy"" she played at this year's Dove Awards.  Probably the biggest misstep on here is the new version of ""Is it Any Wonder.""  I've never been a fan of that song, and this does nothing to change me mind.  Also included are ""To Know You,"" ""Fool for You,"" and one new song, ""Time After Time.""
If you've never heard this gifted artist, this CD is a good introduction to Nichole's work.  Long time fans will also enjoy having these slightly different versions of favorite songs.",positive
"Let's accept the fact...

They are signed to Decaydance/Fueled By Ramen, an ""indie"" label

They got signed without playing a single show

They got hyped by their comrades in Fall Out Boy

But...

This is still a great CD! Is it geared to teens? yes. can everyone enjoy it? yes. This album is a ""safe"" album concerning, lyrics, but the lyrics are great! they are fun and poetic, and just make the song. Musically however this is testing boundries, accordians? synths? when the last time you heard that in a rock album? This is not a hardcore album, anyone who thinks it is should be shot, Panic! At the Disco made a solid album that is fun to listen to. Which doesn't to be appreciated anymore...

Introduction-2.5/5 Does it's job gets you ready to hear some Panic! At the Disco, not to good not to bad.

The only Difference-4/5 Great opener! gives you a good idea of what your're about to hear, the techno break after the second chorus is so awsome.

London Beckoned-3.5 A little repetitive. If they had turned the Synth up a little, i think it would sound better.

Nails for Breakfast-4/5 This song will grow on you, at firt i didn't think it was so great, but it really is catchy, the chorus is irresistable! Nice blend of techno over all

Camisado-3/5 The Chorus saves this song, other then that the relativley forgetable

Time to Dance-5/5 The perfect blend of rock and techno, this is the first P!ATD song i ver heard and i am very impressed.

Lying is....-4/5 Nice lyrics, solid chorus, i don't care so much for the music as much on this one, but it's pretty cool, just a little bit of a let down after the amazing time to dance.

Intermission-4.5/5 In the intermission, the song changes from techno, to classical piano echoing exactly what happens in the album.

But It's Better...-4.5/5 Great opener for second half of the album, gives you P!ATD second sound

I write in...-5/5 First single, saw the video, bought album that simple

I constantly thank god...-3.5 Sweet lyrics, music nice, nothing special.

There's a reason...-5/5 Amazing, A swing song! this is what musical experimentation should be.

Build God...-4.5/5 Nice Instumentation, i even hea a little bit Queens in here...great!

So, it's solid! Believe me...I'm know Pop-radio listening teen, but i'm not completely indie either, either way, IT DOESN""T MATTER, THIS ALBUM IS GREAT GET IT!",positive
"I've had this recording, in one form or another, since the early 80's and I've listened to it more times than I can count. It's good to see Paul's still going strong. This is one of his best! Great songs and plenty of hooks.",positive
"For all the music you gave us, for all the great guitar and for all the songs you had yet to sing for us...Chris, you will be missed by your fans.  May you rest in peace.",positive
I love this song and it arrived early.,positive
"Yes it`s true, in this album we notice a change in their sound. Sometimes "" Some Cities"" sounds like it was composed for a movie soundtrack,but those songs are really good ones,well written, well played. This album is mellower than their predecessors and it grows on you after repetitive listens. My personal favourites are One of these days, Walk on fire and Almost forgot myself. Some reviewers expected some kind of ""Lost Souls III"" because it`s their masterpiece but i think every band must evolve, put out new ideas with every next album,and the Doves have flied the right direction. One objection, Jez should NEVER sing, his gives his best playing guitar, Shadows of salford should`nt be in the tracklist.",positive
fast and efficient,positive
A classic of modern jam based psychedelic surf music.,positive
"Can't remember if it was new or used, but all is good. Good condition and good music.",positive
Loving this cd.,positive
"More of a techno-tune fantasy than the bubbly candy land music of Willy Wonka, Danny Elfman's fantastic and original score for Tim Burton's Charlie & The Chocolate Factory is possibly one of the best soundtracks ever from the legendary composer. I've been a huge fan of Elfman, everything from Simpsons to Sleepy Hollow. Hints of Edward Scissorhands and Mars Attacks prevail throughout the running time. Starting off with the up tone antics of 'Wonka's Welcome Song' and the 'Augustus Gloop' and 'Violet Beuregarde' theme tunes, the highlight is track 7: Wonka's First Shop. Equally impressive is 'The Indian Palace' and the charming 'Wheels in Motion'. This is the soundtrack that Danny Elfman was born to compose, combining some previous scores while infusing it's own unique blend of quirky fun. CTCF is one of those soundtracks that make you want to watch the movie even more, and this is a great accompanying soundtrack. Charlie's Birthday Bar and The Golden Ticket/Factory combined with the effortless wit and sparkle of Chocolate Explorers and Loompa Land; this is the soundtrack that all enthusiasts must own. While not as memorable as the classic Bricusse and Newley 1971 oompa-loompa original, given time it will be remembered as one of the best soundtracks ever. This is a must for Elfman and Burton fans, and a great addition to my already extensive Elfman collection.",positive
Thank you!,positive
"This band had some great people in it, and this album shows off just how good they all were. There is something hilarious about the classification of this band now, as they are sometimes referred to as ""goth"". This band certainly was, but this is not your later goth stuff. This is goth that would kick the sh#% out of future weepy goth bands with a sense of humor about the dark and evil tones that Anton LeVay would be proud of. A Great Album.",positive
All Timbaland hits in one CD.  Awesome!,positive
Excellent music & songs!,positive
"This is one of my favorite cd. I love the vocals of Amel Larrieux. This was the start of my love affair with neo soul music and Amel. Amel has two solo releases that are just beautiful music inside and out. I think alot of people fell for Groove Theory when they heard Tell Me. I pulled it out last weekend for a house party and everyone stood up and danced. The crowd was like ""Oh yeah, hey, I remember this joint"". It was so good to hear it again. Ten years later and that songs still rocks. Must have for any collection.",positive
"I received this at no cost as we bought tickets to his concert on 4/17/15 in Indy at Bankers Life Fieldhouse (home of the Indiana Pacers)

We've been a big fans of Neil's since the mid 1970's - this album sounds like some of his earlier work which is not surprising since many of the song ideas (and some were even partially written decades ago) are very old. He is in very good voice (unlike Barry Manilow who's new album shows off his voice in decline somewhat). Many of the songs have his earlier sound meaning the sound is not as 'thick' as many of his best known songs as known for.

I really liked 'Melody Road', 'First Time, 'Something Blue', 'In Better Days' and 'Marry Me Now' but all the songs are at the very least interesting to listen to.

I would rate this a very strong 8.25 to 8.75 out of 10 - strongly recommended!",positive
Like the cd alot,positive
"I think I could cry, because living as far away from New York City as possible is bad for me. I never got the chance to see the probable wonder that was Tick Tick Boom onstage. Being a fan of Jonathan Larson's Rent, I came across Tick Tick Boom. I read that it had similarities to Rent, but was it's own show. And how right it was. Tick Tick Boom has the same spirit and vibe that Rent has, but their two entirely different shows. The three member cast (Jerry Dixon, Amy Spanger, & Raul Esparza) all are gifted with beautiful voices. All the songs in the show are great, but highlights for me are Green Green Dress, No More, the hilarious and fun to sing Therapy, and the powerful Louder than Words. Also, and I'm glad this is on the disc, but a major highlight is Jonathan Larson himself singing Boho Days. Tick Tick Boom showcases Jonathan Larson's talent and love for music, and I will always be a fan.",positive
"Dimension Hatross is a masterpiece by the Quebecois quartet that I never get tired listening to. This is Voivod's best album and was way ahead of it's time when released in 1988. I love the conceptual storyline the album follows and Piggy has so many memorable riffs song after song, it's just ridiculous. After releasing their follow-up album Nothingface, I remember a tour in 1990 that Voivod headlined with Soundgarden and Faith No More opening up for them. How awesome is that? In 2002, Jason Newsted leaves Metallica to join Voivod. That's the type of respect Voivod has garnered in the underground scene and Dimension Hatross is the album that separated them from the pack in the late 80's.",positive
Every song on this album ticks all the boxes. It's on non-stop rotation in my car at the moment even replacing my beloved JJJ!,positive
"This solo project(which should've been released, who knows what it might have done), this record places Karen's voice in different settings from Pop\rock, disco,& country and there was a very 'happy' sound in Karen's voice, listen to 'Lovelines', 'If I Had You'. I love this lady's voice and I miss it!",positive
"Just want to add my 5-stars to the discussion. These are great and beautifully played renditions. Are they perfect? Maybe not, but I don't look for perfection, just honesty, committment, sincerity, and a sense that the artists involved are trying to show these works in a way that is individual and interesting. That is all here in spades. As for the sound, I think it's a very good analog sound; that is to say, glare in the treble, not very strong in the bass frequencies with amazing detail and impact. Just like most LPs sounded like then. Personally, I think it's wonderful. So, put the bass up and enjoy! The packaging is a drawback, but I don't delete stars for that.",positive
"IMHO, one of the best Alice Cooper Albums of all time. There isn't a song on here that I don't like!",positive
"loved it, it was a great price and came very quickly. You all always got what I want and need... thanks",positive
"Truly a unique, energetic, inspired, and fun record. The band pans this, many fans pan it. Well if you can think for yourself I suggest you buy this. It is pricey, but well worth it. It is rare, and beautiful, in the collecting and musical  sense. Find this and buy it. You won't be disappointed. Not one weak song on here, just pure unadulterated passionate punk music. Robby on vocals, the original singer, who made their early music great. Along with ""jed"" this record stands the test of time as being one of the best examples of what quality low fi music is all about, and the blueprint for the start of a great rock band... Unfortunately, after ""jed"" this band slipped into mediocrity in my opinion. They started allowing Johnny to do most of the vocals and song writing  and in effect ruined the indie punk spirit that was once there. Sure they sold alot of records with their new style and still do . they wow the young girls, but they sold out their musical vision plain and simple. Do not buy anything after ""jed"" if you are like me, a true music fan. This has to be one of the best indie/punk records of all time...",positive
"What can I say if you're a Joe Cocker fan ~ just purchase this great CD!
Arrived in perfect condition as packaged very well. (Always worry about CD's in
the mail!)
JJ",positive
"Let's get the bad out of the way here...as others have noted, this collection does not include any SACDs. Whomever is responsible for this should be sacked and shame on Warner or anyone else responsible. I would not have purchased this if I'd known this in advance. When I look at my account at the item shipped, it still shows that I was shipped SACDs. This is false advertising.

Now the good...if you have a hybrid player and an amp that supports SACD, more than likely you can also play the DTS 96/24 5.1 mix. Again, when I bought this, it did not mention the 96/24 aspect.

Trust me, once you've heard this mix, you'll forget all about the SACD. It might be better, it might not, but for most ears, it really would not make a difference, and with the DVD version, you get the extra live footage. You also get the Lamb live slide show while it plays, along with stills and some grainy live video from that tour. That is a wonderful treat.

But beyond the extras, it is the sound of the original recordings. The Dolby Digital is fine, but for my ears, the DTS 96/24 is exceptional. I hear everything I'm used to hearing, though with far greater definition and I also hear things I never heard before. This is especially true of backing vocals, percussion, nylon guitar and subtleties that were either too far back or simply lost in the wash. There is also the added bonus of no distortion on the mellotron, which was always there on the vinyl, except, perhaps for the first listen.

I would suggest not buying this box if you cannot take advantage of the DTS 96/24 5.1 sound. I won't even bother with the stereo mixes. If you've got the gear, this is a great thing to own. It blows every other version you've heard away.",positive
well lets forget about the movie .even though dennis leary has some good one lineres.this is one of the best albums that mixes rap with any style of music that is in todays medium as far as i can see. you got rap meets metal(well we know that formula)rap meets grunge(well thats some what dated but cool)rap meet hard core (how it should be done )rap meets indi(only done the best way)rap meets progessive(you won't belive your ears)rap meets trip hop(just amazing)rap meets polically correct(how can it be)so to put it the many formulas of this style is here for you[r] listening pleasure....,positive
"This is Humble Pie's third album ""Humble Pie"". I've had the LP for many decades. I finally bought the CD version. No extra songs though. Peter Frampton and Steve Marriot both play heavy lead guitars on much of it. Almost as good as their fourth album, ""Rock On"".",positive
"I grew up on the album...it is and will always be one of my favorites of all time. Every song is a gem...nuff' said. Buy it, enjoy!!",positive
"If you love Copland (and I do) the CD is a must. I especially love ""Grovers Corners.""",positive
"Phenominal, especially on a Saturday...cleaning, moving around the house and grooving all at the same time. She can't fail and you won't either if you purchase this. I love it.",positive
always was my favorite,positive
One of my favorite cds of alltime every song is amazing Sean Peck is one of the greatest metal singers just as good as Rob Halford i don't understand why they're not as famous as they should be..,positive
"If you want to know Motown sound, this is it.  Of course, the company keeps on thriving after 1960s, but everythimg started here.
The show is full of now unforgettable sound; from the starting act of Junior Walker's ""Shotgun,"" the exciting music does not stop. Super-cool ""My Girl"" follows and look at how The Temptations sing. There is The Supremes, Martha and the Vandellas, the Four Tops, singing with the dancing girls who, using a little gimmick, suddenly disappear from the stage (!); there is Smokey Robinson and the Miracles (singing the song late George Harrsion sang in ""With the Beatles"") and of course, Marvin Gaye. You know many songs, and even if you don't, the sound is so irresitible that you will find your feet  stamping to the sound.
And the greatest merit of watching this show is, I think, you can see the artists really sing (without lip-sync).  The inclusion of The Blossoms seems strange, but it is a good thing to watch one of the most underrated group perform ""Dancing in the Street"" with Darling Love as lead vocal.  Love, now remembered by some as a regular in ""Lethal Weapon"" series (as wife of Danny Glover's character), is actually one of the best singers the music industry neglected, and you will recognize that fact with this video. Don't you ever think that old, black-and-white TV program cannot excite you.  It's, to me, much better than 10 hours of MTV! Don't miss it!",positive
read reviews & sample online to ensure YOU like it,positive
Great stuff,positive
"Duran Duran reunited after 17+ years of being apart. Wembley Arena. 100,000 screaming fans. Five musicians at the top of their game, at the height of their powers after amazing, groundbreaking careers. First-class sound, crystal-clear picture, unvelievable special features. Commentary by the artists regarding each song. A bonus CD of the concert. Glasses included for watching a 3-d video. A booklet with great pictures commemorating the night.

Overall, a remarkable DVD. A landmark musical event. This concert is essential viewing for any music fan.

Five stars!",positive
great cd with great audio quality for older music,positive
Great garage music. Been wanting this for some time. Billy Gibbons and his band deliver rocking garage and psyche tunes for your listening pleasure.,positive
Great stuff - have all other Boz Scaggs music but not this and wow - great surprise the more blues and jazz interpretations of great songs are just like being at a live concert.,positive
Yeah its true appetite for destruction is iron nails of rocknroll. Album released in late 80's and in these days there were glam kids all around. Gnr kicked their ass so bad. All kids guitar players were putting their mothers make up while slash was kicking their ass with his raw and angry emotions. This albums is in the same level with Led zeppelin 4-Aerosmith Rocks-Rolling Stones Exile on main street or Acdc Highway to Hell. Steven adlers drumming is so dynamic. Duff's bass is beating like heart of th devil. Most of the songs are written by izzy stradlin and axl rose. And slash's joe perry type of playing is adding nice texture to album. Just buy the album you won't regret i promise.,positive
"Barbara was a less dramatic singer than label mate Aretha Franklin, but she was a top quality soul singer with a wonderful, clear, soprano voice. She had three big American hits, these being Hello stranger, Baby I'm yours and Make me your baby. Although Hello stranger was the biggest hit, Baby I'm yours has spawned more cover versions and is probably the most familiar song.
Someday we're gonna love again failed to chart, but the Searchers covered it and had a British hit with it. Another chart failure, Don't forget about me, was covered by Dusty Springfield who had a minor American hit with it. The Shirelles influenced Barbara strongly, even to the extent that My mama told me (the second track here) owes a lot to the Shirelles song Mama said.
Barbara Lewis is one of many singers who have largely been forgotten. This collection proves that she had the talent to be a major star. If you enjoy sixties soul music and you want to look beyond the famous names, this is for you.",positive
"Kathy Griffin is one of the funniest and most daring comedians you will ever experience. Her mockery of celebrities is as legendary as her catchphrase ""Where my gays at?"" and her self-proclaimed D-list status.

For Your Consideration is the first - believe it or not - audio only release of her career. She has released a stand-up comedy DVD before, but never a CD. This is difficult to fathom, given how long she has been in the industry, and you may wonder why she would only choose to record one now. Well, things soon become clear as soon as you see the cover of the CD. On it, Griffin is seen standing behind a podium, next to the Grammy Award that she has just won.

That's right, her only reason for recording the CD - apart from to give her fans a little something extra - is to try and garner a Grammy Award nomination for Best Spoken Word or Best Comedy Album or then again, both; to add to the Emmy she won last year for her excellent reality series, My Life on the D-List. This may seem overly ambitious, but having listened to the CD, it seems that she definitely has a chance of receiving a nomination.

The CD was recorded in Tracy, Calfornia, the hometown of her assistant, Tiffany, and it is absolutely hilarious. In it, Griffin pokes fun at numerous celebrities, including various new ones that she has not spoken about before - although all the while going after her usual targets - and also discusses her continued status as a D-list celebrity as well as her Mother and how she is coping after the death of Griffin's Father.

For Your Consideration is already a huge hit in the U.S, having entered at number 1 on the Billboard Comedy Chart and number 85 - the highest debut since Joan Rivers' ""What Becomes a Semi-Legend Most?"" in 1983 - on the Billboard 200, which is almost exclusively a music chart.

If you have never heard of Kathy Griffin, then this is an excellent introduction to the flame haired Hellraiser. However, if you have heard of her - and especially if you are a big fan - then this CD is perfect for you. It features Griffin at her very best: hysterically funny and biting, mercilessly attacking even the most powerful of public figures - including Oprah Winfrey, Steven Spielberg, Celine Dion, Barbara Walters and many more - and laughing in the process.

She discusses her ""rebanning"" from The View, which occurred after she made a seemingly innocent joke about the show's host Barbara Walters during one of her stand-up specials; her Mother's obsession with wine and saving money, her views on Oprah Winfrey ruling the world as well as the Osmonds - whom she claims were never, ever cool - and her now ex-boyfriend, Steve Wozniak, the founder of Apple Computers.

For Your Consideration is a fantastic little gem that should not be missed by anyone! If there is any justice in the world, Griffin will indeed get herself a Grammy nomination will hopefully walk away with the prize as well. She certainly deserves it.",positive
Thank you!:),positive
"Gotta Love this woman.  She is fantastic.  The amount of energy she puts out is contagious.  Her clothing and make-up, superb.  She pulls you in from the first note and keeps you riveted to the last and then leaves you waiting for more.  You should give this a try, I think you will be pleasantly surprised.",positive
"I heard ""Missing You"" on the radio.  The original on the album, and the entire album for that matter, has much more of a folk sound.  That said, I liked it ever better.  Sweet lyrics and a beautiful voice.  The final track on the album is the radio version of ""Missing You.""
Buy this album.",positive
"I always enjoy hearing how an artist breaks away from his or her traditional ""expected style.""  In this recording  Sting brings the rustic,  rough, and boisterous sounds of a shipping community in England - going back to visit his roots. I've enjoyed listening to his creative work.",positive
"Mitch Easter's best album.  And considering this guy's previous output, that's really saying something.  It's sad that this album has thus far been mostly unnoticed because Dynamico is an incredible pop/rock album chock full of killer guitars and Easter's signature sound.  Highly recommended.",positive
"The absolute best.  Soloists and orchestra are superb.  Stake your operatic life on this one.  Del Monaco IS Otello and von Karajan's orchestra is stupendous.  If you're not blown away by this recording for the ages, switch to listening to operettaa",positive
"Awesome album, great price . . .",positive
What can I say?  It's the Kinks!,positive
"Following the release of Tattoo, most fans would have perhaps been a little nervous about the impending ""A Different Kind of Truth"". It's been a long time since anybody has heard any new music from the Van Halen camp, and despite the fact that David Lee Roth had returned to the fold, there really wasn't much talk about the new material at all, apart from the odd live performance where they showcased the odd ""new"" song.  Even though the aforementioned Tattoo didn't break any new musical boundaries, it did prove one thing, that Eddie has definitely still got it and in my opinion, playing better than ever. We all remember the ill-fated Van Halen 3 effort. I saw the band live with Gary Cherone and for the most part, Eddie seemed sloppy and past it all. I was really dissapointed. Fast forward to 2012 and what we have here is a very different kind of Van Halen indeed. The music is heavy, fresh and very classic Van Halen. Some will critisize the fact that the band have re-hashed old songs but you know what, who cares? Comparing this material to the Sammy era is not worth the effort, the band has been totally re-born and it's in many ways different to even the original DLR fronted years. As a Van Halen fan from day dot, this is trully a breath of fresh air. As suggested by other reviewers, this album is fun and just cool sounding. You get so engrossed with what's happening musically that lyrically, it's almost insignificant. It all melds into one angry sounding beast. I'm going to have a stab here and suggest that ""Honeybabysweetydoll"" is one of the toughest sounding songs these boys have ever penned. Perhaps the most sobering thought is the mere fact that one Edward Van Halen has just reminded us all why he has been and always will be one of the most revered and influential guitarists of all time, and the single reason why many axe heroes we know today bothered to pick up the guitar in the first place. Welcome back Eddie, it's been too long between drinks......bottoms up boys.",positive
"As with each Tool album, this is a musical journey that is up to the listener to interpret based on their own individuality.  The review format doesn't really serve well for any of Tool's material since they are so different in how they approach creating their music and the artwork that compliments their music.  I love Tool, but that is my personal preference.  How I interpret the music is different than anyone else and it changes each time I listen to one of their albums.  Enjoy the musical ride that they give you...",positive
"Good lord, what a great artist!  Love his work.  Buy it already!",positive
"When I first listened through this album, I found it insufferably boring.  I only really liked a few of the songs.  I was surprised, because I liked all the other albums I bought of hers, the album got great reviews, and was declared by many of her fans as her best album.  I would have given this album one star after I listened to it the first time.  But after listening to it 5 times, looking extensively through the lyrics, and looking through her fansite for quotes so I could find out what the heck the songs were about, it became one of my favorites.

I think the only real reason I hated the first few times is because I didn't know what she meant in the songs (which is ironic, because I loved Boys for Pele the first listen.)  Therefore, I will attempt to roughly explain what each of the songs is about, sorry if I get any of this wrong.

Pretty Good Year- I'm honestly not too sure what this song is about.  Basically, she got a letter from a 20 year old fan named Greg in England, and he said his life sucked, and he doesn't know what girls want from him.  And I guess Tori is telling him ""Hey, suck it up, your life isn't that bad.""  I don't entirely get the song, but I loved the piano playing, and the way she went off at the end into ""Hey! What's it gonna take till my baby's alright?""  And then tones it down with ""Still, pretty good year""  4/5

God- I don't need to explain this one, you'll get it.  One of the only songs I liked the first time I listened to it.  5/5

Bells For Her-  A little boring and longer than necessary, but she sings it much better and with more passion on her Venus live cd.  The song is about still being in love with the person who broke up with you, feeling helpless, and not knowing what will happen, if you'll still stay friends, etc.  The whole song is summed up by the beautiful refrain ""Can't stop what's coming Can't stop what is on its way""  4/5, but 5/5 for her Venus live version

Past the Mission- This was my favorite song the first time I listened to Under the Pink.  I'm still not sure what it's about.  I think it's about her trying to get past her rape and salvage missing pieces of herself, but it has an upbeat tempo because she's finally over the pain and can ""smell the roses.""  There's also some vague Mary Magdalene reference here, because Mary Magdalene is supposed to be the rose, but even after all I've read about her I don't get the reference.  5/5

Baker Baker- This song is not about a baker.  At all.  Absolutely hated this one the first listen, but after reading the lyrics and her autobiograpy and comprehending it, it's one of my favorites.  Basically, she always makes herself into a victim because of her rape, and is realizing that staying in a constant ""I'm an abused, damaged woman and will never be complete again"" mind state is not at all helpful to her.  She's afraid to let anyone into her heart, and acts cold toward the one she loves, and he leaves because he can't handle it ""I ran from him in all kinds of ways  Guess it's his turn this time.""  I love this song now because it gave me a new perspective on victim mentality.  Though why she opens the song with ""Baker Baker"" is still beyond me, I have no idea what cake has to do with the situation.  5/5

The Wrong Band- This one is quirky and fun, but I said ""what the heck"" the first time I listened to it. The song is about a prostitute Tori met in Washington who got involved with a governor, then fled to Japan because she 'knew too much' and her life was threatened.  This song would've been better as a B-side, Honey probably would've fit on the album better. Not because this is a bad song though. 4/5

The Waitress- This is one you can really get into if you're in a dark kind of mood.  It's about Tori working with a waitress who acts kind around all the customers, but is really a bitter you-know-what.  Best lyrics of any song on the cd ""I want to kill this waitress.  But I believe in peace.  I believe in peace, bitch.""  5/5

The Cornflake Girl- I wanted to hear this song, because I heard it's the ultimate Tori song and she plays it at almost every concert.  After listening to it, I didn't get what all the hype was about.  I found it quite boring, and couldn't get into (probably because I didn't get the meaning).  But after listening to it several times, it's one of my favorites.  This song is about many different things, but at core the song is about mothers in Africa who let their daughters' genitals be mutilated.  Instead of being a stereotypical feminist and saying men are all awful, Tori proclaims with this song that woman are often the worst offenders of woman's rights, and she wonders how any woman can treat another woman so awfully or betray other women like that (hence the title ""Under the Pink"".)  The raisin girls, who Tori identifies with, are much harder to find in the cornflake box full of the Cornflake girls.  The improv at the beginning of her Venus live version clarifies the betrayal meaning of the song ""you swear to christ she won't You bet your life she won't Trust in her you do But she does it again and again.""  The piano playing in this song is her best ever, and this song is an A+ in my book.  5/5

Icicle- I skipped over this song after about 2 minutes of piano playing at the beginning, then I listened to it 4 times and still didn't like it.  Then I actually read the lyrics, and yelled, ""OMG, is she really singing this?""  It's my favorite song on the album now, because of the radical idea it portrays.  Tori was raised by a Methodist minister, and her grandmother was strictly religious, and the song is about her pleasuring herself in her bed while her father does a church service downstairs. The piano playing at the beginning is a story of its own: a compilation of church hymns, followed by a dischordant, chaotic sound for when her grandmother finds out she's been masturbating.  I think the song is called icicle because of the phallus imagery. 5/5

Cloud on My Tongue- I was bored by this one at first too, but it frequents my iPod now because it's so beautiful.  I don't know what it's about, the best clue I got was that it's about traveling all over the world and not getting anywhere (though I have no idea why there is a cloud on her tongue.)  The whole song is summed up by ""Circles and circles and circles again The girl's in circles and circles Got to stop spinning"" 5/5

Space Dog- Probably the best and most cryptic song on the album.  Your guess is as good as mine when it comes to what it's about.  I guess it's about a dog in space.  5/5

Yes Anastasia- Tori's epic for princess Anastasia, who Tori believed to be Anna Anderson.  It has a nice melody, but I still find it uninteresting.  At 9:33, the song is way too long, and it doesn't get any better after the second minute.  3/5

So give this album a chance, and if you don't like it, take a chance to read the lyrics a few times and the quotes on her fansite and try to digest it.  It's not the kind of album you can just jump into, you need to take some time with it.  The song meanings were not as clear as Little Earthquakes, yet the music was not as mystical and ethereal as Boys for Pele, so the cd was a little more boring than the other 2 at first. I would recommend the other 2 for people new to Tori's music, but if you already somewhat understand her music, this is a 5 star album.",positive
"All I can say is I liked it. JT is a long time favorite of mine.  Again, I liked it.",positive
One of the best duets.  A lost art now.,positive
"Fredrik Thordendale's time to shine and we are all mesmerized by the light. Dare I say I have listened to this more than any Meshuggah album? Yes, I dare say it. This has been a highly praised work already and there isn't much I can say on this forum that others haven't already said. My two cents: 1) I concur that this is one of the greatest metal albums of all time. 2) This is also one of my top 5 albums of all time.

What separates it from others?

Thordendales demonic crackling vocals aren't obnoxious or corny (I've never found the ""demon vocs"" that some metal bands use to be anything but a pathetic attempt to sound scary and an always successful go at annoying my ear cavities) but rather, Thordendales vocs are entertaining in some almost dry way and lyrically the vocs are deeper than the grand canyon.

Guitar-wise: if you ever wanted him to go off on one of his signature quirky maniacal leads for longer... well... prepare to be wowed with the Defects. The unbroken math-riffs of course get the blood pumping like a high speed train and  stay put just long enough to weave the ""song"" into the next chapter and not jerk you around. It's almost too good to be true that this record exists.

Last but definitely not least: Morgan gren is a top notch drummer who groves in a very original and meticulous way, unlike the ""double bass double bass"" thumping one expects from this type of music.
He's a real jazz drummer doing something totally outside the box for a jazz artist and what takes place with Morgan on this record is absolutely magical.

Metallic bliss. Nuff Said.",positive
"Some of my favorite progressive rock and metal bands came out with new albums this year. Dream Theater had Black Clouds & Silver Linings, dredg had The Pariah, the Parrot & The Delusion, O.S.I. had Blood, Porcupine Tree had The Incident, etc.

I've listened to all those albums, and I like all of them. However, I heard this album and this band for the first time a couple weeks ago on my friends internet radio show, and THIS ALBUM IS BETTER THAN ALL OF THOSE PUT TOGETHER.

If you like progressive music, or heavy music, or metal that just has a little bit extra along with it, THIS IS THE ALBUM TO GET.

I usually don't write reviews like this, but 2 weeks in and I'm still extremely excited by this album.

It's got melody. It's got heaviness. It's got prog. It's got awesome lyrics and good vocals. It is the best metal album of 2009, period.",positive
"It really gives old fashioned Christmas theme with Linda's incredible voice, a match made in heaven.",positive
